Time,Red 1,Red 2,Blue 1,Blue 2
9:00 AM (practice),54542,62435,53179,6190
9:10 AM (practice),33986,70624,2150,54541
9:20 AM (practice),62437,72544,52371,60815
9:30 AM (practice),65112,2151,61224,4391
9:40 AM (practice),33438,52370,,
9:50 AM (practice),62436,53180,23684,3806
10:00 AM (practice),,,70923,61225
10:30 AM,2151,33438,65112,52370
10:40 AM,3806,23684,53180,62436
10:50 AM,61225,70923,4391,61224
11:00 AM,62435,53179,70624,33986
11:10 AM,6190,54542,3806,33438
11:20 AM,53180,62436,61225,70923
11:30 AM,70624,33986,62435,23684
11:40 AM,72544,2150,62437,52371
11:50 AM,60815,54541,70923,53179
1:00 PM,23684,3806,54542,53180
1:10 PM,2150,62437,72544,62435
1:20 PM,72544,60815,52370,65112
1:30 PM,61224,52371,2151,2150
1:40 PM,4391,6190,33986,62437
1:50 PM,52370,65112,54541,54542
2:00 PM,52371,61224,33438,2151
2:10 PM,53179,4391,62436,70624
2:20 PM,54541,6190,60815,61225
